id,status_name,date_column,filled
91,Approved,phase_3_c_omb_end_dt,1
91,Approved,phase_3_c_omb_strt_dt,1
91,Approved,phase_2_cmpltns_rvw_dt,1
91,Approved,phase_2_rcvd_dt,1
93,Approved,mdcd_demo_aplctn_stus_dt,1
93,Approved,phase_6_end_dt,1
93,Approved,phase_3_c_ogc_end_dt,1
93,Approved,phase_3_b_omb_strt_dt,1
93,Approved,phase_5_end_dt,1
93,Approved,phase_6_strt_dt,1
93,Approved,phase_2_fed_cmt_prd_end_dt,1
93,Approved,phase_3_c_ogc_strt_dt,1
93,Approved,phase_3_c_omb_end_dt,1
93,Approved,phase_4_end_dt,1
93,Approved,phase_2_state_aplctn_deemd_cmpltn_dt,1
93,Approved,phase_3_c_omb_strt_dt,1
93,Approved,phase_4_strt_dt,1
93,Approved,phase_3_b_ogc_end_dt,1
93,Approved,phase_3_a_sme_strt_dt,1
93,Approved,phase_3_b_ogc_strt_dt,1
93,Approved,phase_5_strt_dt,1
93,Approved,phase_2_dsrd_aprvl_dt,1
93,Approved,phase_2_fed_cmt_prd_strt_dt,1
93,Approved,phase_3_b_omb_end_dt,1
93,Approved,phase_3_a_sme_end_dt,1
93,Approved,phase_2_cmpltns_rvw_dt,1
93,Approved,phase_2_rcvd_dt,1
97,Approved,mdcd_demo_aplctn_stus_dt,1
97,Approved,phase_2_cmpltns_rvw_dt,1
97,Approved,phase_2_rcvd_dt,1
99,Under Review,mdcd_demo_aplctn_stus_dt,1
99,Under Review,phase_2_state_aplctn_deemd_cmpltn_dt,1
99,Under Review,phase_3_a_sme_strt_dt,1
99,Under Review,phase_2_fed_cmt_prd_strt_dt,1
99,Under Review,phase_2_fed_cmt_prd_end_dt,1
99,Under Review,phase_3_a_sme_end_dt,1
99,Under Review,phase_2_dsrd_aprvl_dt,1
99,Under Review,phase_2_cmpltns_rvw_dt,1
99,Under Review,phase_2_rcvd_dt,1
101,Approved,mdcd_demo_aplctn_stus_dt,1
101,Approved,phase_2_state_aplctn_deemd_cmpltn_dt,1
101,Approved,phase_3_a_sme_strt_dt,1
101,Approved,phase_2_fed_cmt_prd_strt_dt,1
101,Approved,phase_2_dsrd_aprvl_dt,1
101,Approved,phase_2_fed_cmt_prd_end_dt,1
101,Approved,phase_3_b_cmcs_strt_dt,1
101,Approved,phase_3_a_sme_end_dt,1
101,Approved,phase_2_cmpltns_rvw_dt,1
101,Approved,phase_2_rcvd_dt,1
102,Under Review,mdcd_demo_aplctn_stus_dt,1
102,Under Review,phase_2_cmpltns_rvw_dt,1
102,Under Review,phase_2_rcvd_dt,1
104,Under Review,mdcd_demo_aplctn_stus_dt,1
