document_id,legacy_id,deliverable_id,file_type_cd,origin_cd,document_type_id,reason
90fb9541-f14d-42b9-8704-625756cecfb2,13273,aad92fbb-2ef9-44fc-88f4-0822ea0b8624,,C,General File,parent deliverable not loaded
0b88251c-b469-4755-865f-7eb3d913ea7d,13571,ae2a4173-ee7b-4551-ac6c-14036ee91050,,S,General File,parent deliverable not loaded
2d263cbd-8f5a-47bd-8bcc-c6123bf56631,13572,3b2c4049-f384-4a04-a580-a8f60d8e7c22,,S,General File,parent deliverable not loaded
17d59c55-1511-417a-bb75-3e9dd27cdf49,13574,3b2c4049-f384-4a04-a580-a8f60d8e7c22,,S,General File,parent deliverable not loaded
dcb58c7d-275f-431e-b404-87d6b257dda1,13605,d8920876-1c09-48ad-8024-0d9332c058b0,,S,General File,parent deliverable not loaded
9c1ce057-6a55-4a35-853b-27df177dc79b,13606,9346e59d-2ecd-4d69-836f-e239f9bd551a,,S,General File,parent deliverable not loaded
32f137c9-6d36-4438-a66f-002ee4233ad2,13694,d6b60228-34e2-4097-b003-e781903b2ea8,,S,General File,parent deliverable not loaded
c2d9ed8f-f111-451b-8d1b-b2f2fdc9cc50,13879,ffb1ed80-a1c3-4a55-9e8e-f17882fe85cc,,S,General File,parent deliverable not loaded
09a6683a-1f41-4204-a437-09226d953d39,14065,3cc6c38f-305c-49f3-bd52-c55bd059d22a,,S,General File,parent deliverable not loaded
94baa2d7-2fa7-42b1-a119-cf44260609a8,14066,3cc6c38f-305c-49f3-bd52-c55bd059d22a,,S,General File,parent deliverable not loaded
3230d72e-a789-4ee4-94d7-99a0730472d6,14135,726e9209-39d9-4c88-a350-33dc37032c25,,S,General File,parent deliverable not loaded
f4a88a29-9bf3-4b0b-8b62-156af1814346,14136,726e9209-39d9-4c88-a350-33dc37032c25,,S,General File,parent deliverable not loaded
7927d47f-120f-478b-8691-f76683744dd1,14137,726e9209-39d9-4c88-a350-33dc37032c25,,S,General File,parent deliverable not loaded
b2684c5b-f781-47ae-ba66-d52e3b00490a,14251,e10464e5-f5b8-41be-a253-ffce4c3ac30c,,S,General File,uploader did not migrate (no users row)
7f6a2f39-2199-480b-bee4-1f45b7ea3cde,14590,9c5b0bd8-c8df-4855-b978-cef5e88ec12a,,S,General File,uploader did not migrate (no users row)
f82116b7-aac0-4ddb-b3ad-23b685bb3166,14591,9c5b0bd8-c8df-4855-b978-cef5e88ec12a,,S,General File,uploader did not migrate (no users row)
646923e9-4506-4b4b-90d0-f76caee5eb7f,14592,9c5b0bd8-c8df-4855-b978-cef5e88ec12a,,S,General File,uploader did not migrate (no users row)
dec4f2cb-b803-4d1f-958e-e6ae364f8163,14593,9c5b0bd8-c8df-4855-b978-cef5e88ec12a,,S,General File,uploader did not migrate (no users row)
ff4581dc-6d4e-4001-9b51-c298d4c5f5df,14594,9c5b0bd8-c8df-4855-b978-cef5e88ec12a,,S,General File,uploader did not migrate (no users row)
e7e0a3ae-1dc2-4b0f-980d-70d7e02ee183,14595,9c5b0bd8-c8df-4855-b978-cef5e88ec12a,,S,General File,uploader did not migrate (no users row)
3f6f84c7-e4e9-4d67-b56f-e09ace74a7ce,14596,9c5b0bd8-c8df-4855-b978-cef5e88ec12a,,S,General File,uploader did not migrate (no users row)
34ea28ec-c53d-412d-90bf-36e3d2e9601c,14597,9c5b0bd8-c8df-4855-b978-cef5e88ec12a,,S,General File,uploader did not migrate (no users row)
