amendment_uuid,demo_uuid,name,status_cd
e50ea93d-3fdc-4ca1-b94b-958c044e6330,7ae1272a-e47a-4228-aae8-7855b6737052,COVID-19 Amendment,
e576fa42-1317-481f-bb30-8e5b26e96c27,e14e3eb8-f350-403c-bee3-21868690dfe4,Fertility Preservation,
e7572db9-1cc7-4455-9d22-d0d676dd4792,e14e3eb8-f350-403c-bee3-21868690dfe4,IVF and Genetic Testing Amendment,
e79fd204-c812-4957-a90a-46c3beb81d56,c7c07fe5-ac27-4296-9440-13916aa30f3a,Four Walls,
e7ed830c-61a5-4f3b-b6e0-b7c2f120fd3e,e14e3eb8-f350-403c-bee3-21868690dfe4,Integrated Services,
ec1d7adf-e662-4db6-a5a5-d6ab811f2d24,68da4d77-9660-454c-8715-1dbf75bbc63a,PHE - CHIP Amendment,
ec76e94b-178b-414b-a442-16cfa3b83a2e,e9225e11-2ed6-4c44-b08b-497ff585e349,Foster Care Expansion,
eef2cfd3-6b55-45b0-82ef-17f2d932c519,68da4d77-9660-454c-8715-1dbf75bbc63a,Managed Care Amendment,
f13dadee-5052-421c-b42b-3dbba6740c2e,e14e3eb8-f350-403c-bee3-21868690dfe4,Justice-involved Amendment,
f35c1cd7-761e-4072-a2d6-1abe8117ced5,0181f074-ee92-420b-822d-aedfadcd4c7d,FFCY Eligibility and Enrollment,
f4358c61-6506-497e-a179-dac4603ce4a4,f723aea0-4ef8-4a60-b98e-0393f346cfbd,Postpartum Coverage,
f69d1f8d-849e-4c43-84af-1d6aadb19433,b8ce4b5d-b2e0-49ce-9878-2f77b5da13a3,Montana Plan First STI Amendment,
f6eec1f1-9bdc-41ea-a810-e0695dd360b1,a1720a4f-5984-4b4c-b929-d10fb071ee97,SMI Amendment,
fa288f4b-d424-4cfa-8faa-c1e2b08dc009,7359cb4b-7f34-4322-9379-448e4c4a3ebf,Managed Care Risk Mitigation COVID-19 PHE amendment,
fb5ab5b6-9802-4344-9765-bc636223a99c,0181f074-ee92-420b-822d-aedfadcd4c7d,Housing Supports Amendment,
fd3ac48a-a385-4ba1-b26f-f078f892ccfc,e05f17af-8550-4ebe-81d5-e3804993556c,Maine SUD,
